1,2
happy,"꿈은 잠꼬대 한 적 있어? 
"
happy,"나 뭐 항상 하지.
"
happy,"l/ 어떤 게 제일 심했어? 
"
neutral,"뭐 나는 근데 잠꼬대하니까 그 옛날에 동생이 나 어렸을 때 가족이 같이 자잖아, 엄마 아빠랑 동생이랑. 
"
neutral,"나는 잠 안 자고 TV 보고 있었는데 동생이 자다가 갑자기 벌떡 일어나는 거야.
"
neutral,"그래가지고 손으로 이렇게 하면서 여보세요 예?
"
neutral,"그때가 중학생 때?
"
happy,"l/ 그래가지고 깜짝 놀라서 멍하니 바라보다가 깼나 싶어 난 처음에 일어난 줄 알았거든.
"
neutral,"일어난 줄 알고 딱 보다가 어 이게 잠꼬대인가.
"
neutral,"그리고 다시 자, 그리고.
"
neutral,"다음날 기억도 못 해.
"
happy,"b/ 식구들이 따라 하지 않아?
"
neutral,"맨날 나만 가끔 따라 해.
"
happy,"l/ 너만 따라 해? 
"
happy,"한 10년, 10년이 지났어도 아직도 얘기하고 있어.
"
happy,"7년 7년째 우려먹는 거야? 
"
neutral,"으응 b/ 나는 우리 집에서는 엄마랑 순덕이가 제일 심한데.
"
happy,"l/ 엄마는 이제 심하니까 l/ 다들 오랜만에 엄마랑 자야지 해놓고 l/ 다들 배게 들고 밖으로 나와 l/ 엄마만 계속 자고 있고. b/ 
"
happy,"그러고 n/ 순덕이는 웃긴게 개잖아, 개인데 개가 잠꼬대를 해. l/
"
neutral,"걔 잠꼬대하는 거 그냥 발에 경련 나고 그러는 거 아니야?
"
happy,"아니야, 막 어 막 으어어어 막 이래 그러면서 l/ 그 옆에 있는 사람마다 엄청 웃는 거야. 
"
neutral,"소리를 내?
"
surprise,"어 걔도 소리를 내?
"
neutral,"거실에서 여름에 많이 그러더라고 자다가. l/
"
neutral,"근데 그렇게 웃길 때도 있는데 생각해보면은 군대에서 잠꼬대는 괜찮은데.
"
neutral,"그 소리 지르는 사람들 있어.
"
happy,"그러니까 n/ 저 20명이서 한방에 따다 다다 붙어서 잤는데 막 끝에서 어하하하 소리 지른단 말이야.
"
happy,"l/ 너 아니야 l/ 너 아니야? 
"
happy,"b/ 나 아니야. 
"
happy,"난 듣 난 들었어.
"
happy,"너 아니라고? l/
"
neutral,"나 나도 그렇긴 하는데 나 훈련소 땐 안 그랬던 것 같아.
"
happy,"어 l/ 인정하십니까? l/
"
neutral,"어 가끔 소리 지르는 게.
"
happy,"음 l/ 우리 집은 b/ 엄마랑 순덕이가 제일 심한 듯.
"
neutral,"우리 아빠도 그러니까. 
"
neutral,"유전이야 유전.
"
neutral,"N/ 근데 엄마가 살을 빼니까 안 골아.
"
neutral,"아 맞아 살 빼면은 코골이도 안 하고 잠을 잘 자는 것 같애.
"
neutral,"근데 이게 그 경계선이 있는거 같애. 
"
happy,"그래서 지금 살 빠져서 확실히 덜 고는데 또 조금 찌잖아, 그럼 다시 l/ 다시 골아 그래서 명절 때 심해져. l/
"
happy,"어, 나도 나도 한참 살 뺐을 때 진짜 그때 그때가 군대야 항상. 
"
neutral,"그니까 나도 코도 안 골고 어 n/ 그리고 어 술을 마시 많이 마시면은 코를 많이 고는 것 같애. n/
"
neutral,"b/ 하 근데 생각해보니까 n/ 너가 낮잠을 잘 때도 코를 골더라고. 
"
neutral,"좀 옆에 n/ 있으면 들리거든? 
"
neutral,"근데 너가 한참 재작년에 살 뺐을 때 있잖아.
"
happy,"제일 깜짝 놀랐어, 잠자는 줄 n/ 몰랐어 아무 소리가 안 들려서.
"
happy,"아 그게 한 b/ 몇 킬로 차이 안 나는데, 지금이랑.
"
neutral,"아니야 u/ 진짜 다 잘생겨졌다 그랬잖아. 
"
happy,"l/ 아 살 빼야겠다. 
"
neutral,"사람들이 다 예뻐졌다고 그랬잖아. 
"
happy,"어 지금은 다 보기 좋다고만 하잖아 근데 l/ 아니 다시 빼면 되겠지 뭐.
"
happy,"l/ n/ 결론은 살을 빼야 한다로 되는 구나.
"
neutral,"어 왜 확실히 잠꼬대랑 코골이가 너가 살 빼면 줄어. 
"
neutral,"시끄러운 건 아닌데 낮잠 자는지를 아무도 몰라. 
"
happy,"l/ u/ 놀러 온 거 아니야? 
"
neutral,"근데 너도 코 골아.
"
neutral,"덜 골지 너보다는, 나 그래도 쥐 죽은 듯이 내지.
"
neutral,"아 근데 우리 아빠는 꼭 잠자기 전에 이러거든?
"
neutral,"커헉 하고 잠을 자거든?
"
happy,"어 b/ 이게 신호야, 커헉 하고 어어어 하고 자.
"
happy,"l/ 너잖아, l/ 학습된 거네 그럼.
"
neutral,"그러고 내가 옆으로 자잖아.
"
neutral,"그것도 우리 아빠보고 학습된 것 같애.
"
neutral,"꼰대 만나본 적 있어?
"
neutral,"l/ 그 꼰대가 좀 상대적인 거 같애.
"
neutral,"근데 저번에 그 u/ 회사 다녔잖아. 
"
neutral,"u/ 의료 회사. 
"
neutral,"거기 그런 사람들 많았을 거 같은데 어떤 경험이 있어?
"
neutral,"그러긴 했는데 b/ 나도 막 이런 게 꼰대다 이랬었는데 이게 존댓말이 있는 한은 계속 있을 것 같지 않아? 
"
neutral,"존댓말이 없어도 꼰대는 존댓말? 
"
neutral,"아 아예 영어 영어 문화권이면은 꼰대가 없을 텐데 영어 문화권이 아니면 b/ 뭐 그럴 수도 있겠다, 우리가 높임말 쓰니까 위아래가 나눠진 거니까?
"
neutral,"그 생각도 들어.
"
neutral,"그 말 어 말 차이에서도 나오는 느낌이 들거든.
"
neutral,"그래서 막 너무 나도 거기에 휩쓸리는거 조심해야겠지만.
"
neutral,"맞아 그 자기 말에 동감하는 게, 그 높임말을 쓰는 게 위아래를 구분하는 느낌도 있잖아. 
"
neutral,"근데 그러는 거 같애. 
"
happy,"아 이렇게 하면 안 되겠다 느끼고 이제 어 나 이러지 말아야지 하는 거 같애. 
"
neutral,"그러지 않아?
"
neutral,"그니까 아까 군대 얘기를 제일 많이 했다는 게 거기가 수직 문화잖아? 
"
neutral,"그니까 나 되게 싫었던 게 아 내가 약간 이제 그 군대 계급은 알지 일병 이병 일병 상병 병장.
"
neutral,"그 일병 때 진짜 많이 들었던 말이 아 나 때는 상상도 못한 일들을 너네가 하고 있네? 
"
neutral,"아 진짜 그 말 들으면 엄청 열받거든. 
"
neutral,"근데 근데 진짜 그때는 그 사회 구조에 갇혀있으니까 아 진짜 작년에도 엄청 b/ 엄하고 힘든 시기가 있었나 보다 이렇게 생각을 했거든? 
"
neutral,"근데 내가 이제 병장이 되고 해보니까 하 그 뭐 별로 달라지진 않 않았겠고만 이런 생각이 들면서도 나도 모르게 그들과 비슷해져있는 그런 느낌? 
"
neutral,"학습되는 거 같지 않아? 
"
neutral,"사실 막 우리가 이제 우리도 꼰대 되는 거 같애, 그래도 우리 어릴 때 할머니 할아버지랑 어른들한테 그런 말 얼마나 많이 들었어. 
"
neutral,"나는 그래서 그게 n/ 아무리 내가 부모를 싫다고 해도 부모를 보고 자라서 배운다 하잖아.
"
neutral,"c/ 그 그 어릴 때 그렇게 말을 많이 들었으니까 자꾸 그 말이 쉽게 나오는거 아닐까? 
"
neutral,"응 나도 영광만 가면은 이모부가 아유 술 먹으면서 막 그런 꼰대 같은 말을 많이 해.
"
neutral,"너가 그래도 막 그 그 있지 가족 우리 조선시대에 기반한 첫째 아들이 뭐 해야 한다 남자가 뭐 해야 한다 아직도 그게 남아있는 거 같애.
"
neutral,"근데 좀 옛날보다는 꼰대 막 엄청 싫어가 아니라 좀 꼰대 보면 불쌍해.
"
neutral,"u/ 나는 재 재밌을 때도 있는데 안타깝기도 하고, 맞아 나도 저런 말을 할 때가 있었는데 그러기도 해.
"
neutral,"약간 꼰대랑 아닌 게 한 끗 차이인 거 같애. 
"
neutral,"저렇게 말하면서 행동으로 엄청 하는 사람은 b/ 꼰대는 꼰대인데 막 완전 꼰대스럽지도 않고 b/ 그러지 않아? 
"
neutral,"그 맞어, 그런 거 같애.
"
neutral,"대학생활 때도 이제 여기 학교 말고 다른 학교 다닐 때, 스무 살에서 스물한 살 넘어갈 때 내가 꼰대가 돼 있 진짜 그때는 엄청 꼰대였던 거 같거든? 
"
neutral,"와 후배가 이걸 안 하면 짜증이 나고, 왜 나는 했던걸 쟤는 안 하지?
"
neutral,"이 이 생각의 시발점부터 잘못된 것 잘못됐었어.
"
neutral,"쟤랑 나랑 다른 걸 인정하고 내가 했던걸 쟤가 해야 하는 건 아닌데 왜 쟤가 안 하면 짜증이 나고 그런 기분이 들 때 있잖아. 
"
neutral,"맞아 그 근데 이런 것도 있더라. 
"
neutral,"어 저게 내가 어릴 때도 했던 생각인데 똑같은 비슷한 상황인데 내가 어릴 때 할 때는 그냥 나의 성격이었는데 어른이 되고서 그걸 하니까 꼰대라고 해. 
"
neutral,"어릴 때 그냥 틱틱대고 충고 잘하는 애였는데 나이가 들어서 그렇게 하니까 똑같이 해도 꼰대라고 해. 
"
neutral,"그런 거 같기도 해. 
"
neutral,"그리고 이 꼰대라는 용어가 생긴지 얼마 안 된 거 같애. 
"
neutral,"아니 막 10년 넘어가진 않은 거 같애.
"
neutral,"대신 꼰대라는 것을 아니야.
"
neutral,"옛날부터 있었던 용어야?
"
neutral,"근데 꼰대의 연령이 낮아졌어
"
neutral,"그니까 원래는 그 막 과장님 같고 너무 상사들 괴롭히고 막 이러고 너무 가부장적인 아빠를 응 너무 가부장적인 아빠를 꼰대라고 했는데.
"
neutral,"워 워커홀릭인 아빠들?
"
neutral,"점점 그 불편함을 주는 거를 다 꼰대라고 하기 시작하면서. 
"
neutral,"맞아 젊은 꼰대라는 용어가 생겼구나.
"
neutral,"그래서 어떻게 보면은 약간 진짜 저게 꼰대를 의미하는 게 맞나 싶기도 해.
"
neutral,"그냥 듣기 싫은 말 하면 꼰대라고 하는 거 같기도 해.
"
neutral,"뭐 생각나는 거 있어? 
"
sad,"생각나는 것보다 그냥 사람들이 우는 그런 영상을 보면은 나도 울먹거리게 돼. 
"
neutral,"c/ 너무 아름다운 장면을 본 거 같애.
"
neutral,"응, b/ 나는 응. 
"
neutral,"그리고 일을 하더라도 부모님 곁에 있어야 한다 라는 생각이 다시 들었어.
"
neutral,"솔직히 지금 별 느낌 안 들어도 나중에 후회할 거 같지 않아? 
"
neutral,"n/ 응 막 이런 영상들이 많잖아. 
"
neutral,"막 자식이 서울 가고 부모랑 이제 명절에만 보고 n/ 그냥 그러면 나중에 많은 사람들이 후회하는 그런 영상 이거 어떻게 보면 후회하는 영상인 거 같애. 
"
neutral,"으이 그럴까 꼭?
"
neutral,"그니까 그때 그거 후회하는 여 아 후회만은 아니겠지, 아니겠지 막 근데 n/ 확실히 부모님 곁에 있고 자주 만나고 하면은 서로 이렇게 n/ 뭐 괜찮지 않을까 이런 생각이 들어.
"
neutral,"으응 젊을 때는 모를 거 같애. 
"
neutral,"c/ 내가 내 자식이 있고 나랑 이제 닮은 애가 태어나면은 젊을 때는 모를 거 같은데 다르게 생각하면은 내가 나이 들면 저쪽 엄마 아빠를 닮아갈 거잖아.
"
happy,"그니까 그냥 닮은 사람을 케어해야 되는거 아닌가 싶기도 하고.
"
neutral,"그치 그래도 이제 막 애들 처음에 키울 때 정신없을 때는 좀 소홀하고 약간 이제 여유 생기면 이제 그때 아 막 이래야 되는데 막 그런 생각 하는 거 같애.
"
neutral,"응, 그때는 근데 좀 늦은 거 같고 지금 막 그게 악착같이 돈 벌어야 된다 이런 생각보다는 어 근처에 있고 그리고 내가 얼마 전에 말했잖아. 
"
neutral,"맞아 근처에 있는 게 나아.
"
happy,"영광을 한 2주에 한 번 찾아갔더니 아빠가 좋아하고 좋아하는 티를 안내다가 다른 사람 있으면 요새 철들어가지고 막 그런 얘기를 한다고 b/ 그러면서 그러면서 느꼈지.
"
happy,"좋아하지.
"
happy,"l/ 철의 조건인가.
"
neutral,"자주 가야겠다. 
"
neutral,"으응 b/ 진짜 나도 엄청 이렇게 애정표현하고 그런 스타일은 아닌데 이렇게 바로바로 체크를 못하면 불편 할 거 같애.
"
neutral,"좀 그리고 음 근처에 있는 게 꼭 부모님을 위해서가 아니라 그냥 내 마음 편하기 위해서라도 그게 낫지 않겠어? 
"
