P1,swtexception completionproposalpopup 1gldguus
P1,internal error argument hint codeassist 1gl9vpu
P1,swt error java editor 1gkx6zz
P2,hover label long 1gkewgh
P2,jumpy behavior addingremoving breakpoint 1gkzkjn
P3,create new class create 3 entry local history 1ge4toc
P4,jm builder nested operation use java model get inconsistent result 1fubv90
P4,jm use open java model inconsistent core 1fw2eyq
P2,ec outline show open java file search view 1gjoxch
P2,jm smart save empty cu 1g4evhm
P2,formatter test refer hardcoded path disk 1g9r5g4
P1,jm cycle detect marker attribute 1g8vtsa
P3,searchableenvironment convert char string affect performance 1gdgiup
P4,java reconciler work strange duplicate method 1ge2z8g
P4,outliner work strange duplicate method 1gf7gif
P3,severe performance java model redundancy 1gfktun
P2,classfile comparator able ignore order 1gl2i7e
P4,eval codesnippetclass fold code snippet 1gbrujd
P4,search match base class support pattern wildcard 1gelt7e
P2,smoke 124 compile error introduce rename refactor 1gfbk2g
P2,search java project scope work expect 1giju1p
P2,searchpattercreatepattern doesnt work unicode 1gjybry
P2,npw typehierarchy 1gl0l8d
P2,dcr code assist support variable name suggestion 1gkm6oq
P4,codecompletion arrayindexoutofbound error code assist 1gdtll6
P2,codeassist code assist doesnt work method 1gelebh
P2,codeassist filter duplicate 1gewdl7
P2,much codeassist match interface 1gh0gv1
P3,code assist work inner class 1gjovt6
P3,outliner display number name inner class 1g4i11us
P2,dcr jm invalid reference ipathgetdevice potentially break linux 1g4u1r7
P2,qualifiedallocationexpressionsourceend incorrect type anonymouslocaltypedeclaration
P2,openonselection doesnt work mouseadapter 1gf69th
P2,compiler lf can not run class miss implementation interface 1fnfvy8
P4,jm deadlock save editor 1gaj67w
P3,need support set exception breakpoint string 1ge8hqo
P3,setting debug view persist 1gdtunw
P1,feature filter static initializer 1gkqhtt
P1,jsp support 20 1gj8lk3
P2,copy package view copy top level package folder
P2,dcr jm buffer contents duplicated 1g03hcp
P4,unnecessary proposal open selection whith syntax error 1g0eibb
P2,jm reminder reenable transient reconcile marker 1gaj9fq
P2,search many type reference query end 1gazvgus
P4,dcr jm package view empty 1gewryus
P3,typehierarchy go empty rename type focus 1gf5pcy
P1,many error add project repository fresh install 1gf5pu7
P2,dcr jm could icompilationunitgettype throw jme 1gf9al9
P3,minor class wizard create three copy history 1gfmjl minor class wizard create three copy history 1gfmjl code manipulation
P4,error message confuse use token instead identifier 1gctdym
P1,can not duplicate local variable finally block
P2,jck 14 illegal simple name import 1ghw0g1
P2,ijavaprojectgetpackagefragmentroot return root project
P2,javacorecreatestr handle loose information 1gla0qg
P2,disappear variable scope issue 1gle82v
P2,build problem marker set folder 1gla7nx
P2,unused argumentvariable warning show twice 1gl4ow7
P3,type hierarchy incorrect behavior wrt work copy 1gldhoa
P2,search could automatically narrow scope 1gldjvn
P4,bug javasearchscope 1gle1gc
P2,arrayindexoutofbound add project workspace
P3,inconsistency debugger highlight 1gkr9h0
P2,java model test fail 1gkz2qd
P2,npe sourceelementparser 1gl496us
P2,display view contents restore properly
P1,exception doubleclicking breakpoint
P2,property sheet breakpoint synch 1gl2q6e
P3,initialize thread status 1gigdez
P2,feature lock monitor 1g3a7zh
P2,feature use tostr display variable value 1g1y25j
P2,extensible launch mode 1gbeqyo
P2,dcr launcher binding 1gbpw6t
P2,feature crc synch 1gd0anf
P1,multiple breakpoint line
P2,watchpoint icon artwork require
P2,debugplugin must allow null element updatehistory 1gei3c1
P2,first launch offer choice 1 launcher 1gf5xka
P2,uus right click run button 1g5t50t
P2,apus change ilaunch isession 1gdu1jt
P2,java launcher dont prompt element launch there one 1ge6s2p
P2,dcr apus change launcher return launch 1ge8r87
P2,make java debug uus seperate plugin 1gigg3x
P2,dcr launcher control perspective switching 1gjut9j
P1,thread suspendresume error class name
P2,hcr silently fail update target 1gdeycu
P1,hcr eval remote target 1gb1qpv remove evaulation ast evaluation remote evaulation ast evaluation remote evaluation ast evaluation
P2,dcr perspective specific launcher filter 1giyjxh
P1,breakpoint method declaration install 1ghow9c
P2,usability must select correct element launch 1gembel
P1,verification error
P3,readme systemexit0 scrapbook 1ge8ju3
P3,relaunchlast always enable 1get14t
P3,readme vmdisconnect terminate scrapbook launch 1gehzg7
P2,run action miss package view outliner 1gdf2vh
P2,codeassist two type name must qualify 1gldn3z
P2,source attachment wizard jar form variable entry 1gi6q7
P2,vector evaluation error 1gfja0t
P2,feature split debug action set debug launch 1gkcqvz
P2,runin package cant delete 1gf7rqy
P1,evaluation update variable view
P2,evaluate action display view evaluate empty selection 1gensr6
P1,hit count watchpoint always reenable 1gle911
P1,display ascius value greater 127 fail 1gle8i5
P2,add filter button disable something add 1gle2j4
P1,step filter display area scrollable 1gle26p
P2,tostr primitive array type 1gl2tf0
P2,scrapbook accelerator display 1gkz3bt
P1,scroll current line top page 1gkde48
P2,issue breakpoint manager break lazy plugin load rule 1gkkdta
P3,2 inner class breakpoint lead weird state 1gjuz1y
P1,jdt conditional breakpoint 1givkp1
P2,layout launcher 1ghvz
P2,miss tostring feature make debug painful 1gh3w9p
P2,readme scrapbook clean temp file 1gf808
P1,flooding console output without new line 1gldybv
P2,delete project w remove buildpath 1gkznb
P5,vcmcore error message load resource sync informative enough 1genp00
P5,cant add delete resource back workspace 1get08v
P5,error message clear version alreadyexist version name 1geuu6o
