CV,Precision,Recall,F1_score,Accuracy,Mcc,Loss
1,0.0,0.0,0.0,0.8181818127632141,0.0,1.5681939125061035
2,0.0,0.0,0.0,0.8405796885490417,0.0,1.2662649154663086
3,0.0,0.0,0.0,0.7987421154975891,0.0,1.2693142890930176
4,0.8018721342086792,0.7964285612106323,0.7991070747375488,0.7957746386528015,0.7657413482666016,1.0375428199768066
5,0.8572146892547607,0.8104166984558105,0.8328931331634521,0.817460298538208,0.8067206144332886,0.9896934032440186
6,0.8798076510429382,0.8798076510429382,0.8798076510429382,0.8766233921051025,0.8597756624221802,0.7459973692893982
7,0.7537499666213989,0.7537499666213989,0.7537499666213989,0.748251736164093,0.7127083539962769,1.0535517930984497
8,0.800000011920929,0.800000011920929,0.7999999523162842,0.7986111044883728,0.7666667103767395,0.8631231188774109
9,0.7868055105209351,0.7868055105209351,0.7868055105209351,0.7883211970329285,0.7512731552124023,0.8703661561012268
10,0.8339285850524902,0.8339285850524902,0.8339284658432007,0.8322147727012634,0.8062499761581421,0.7540379166603088
